Title,Categories,Author,Narrated By,Series,Length (Hours),Length (Minutes),ReleaseDate,Price,Ratings,Overall Rating Out of 5,Performance Rating out of 5,Story Rating out of 5,Overall 5 stars amount,Overall 4 star amount,Overall 3 star amount,Overall 2 star amount,Overall 1 star amount,Performance 5 star amount,Performance 4 star amount,Performance 3 star amount,Performance 2 star amount,Performance 1 star amount,Story 5 star amount,story 4 star amount,Story 3 star amount,Story 2 star amount,Story 1 star amount,1 Review header,1 Review body,1 Review helpful count,2 Review Header,2 Review body,2 Review helpful count,3 Review Header,3 Review Body,3 Review helpful count,,,,,,,
Cherish,Teen & Young Adult,Tracy Wolff,Heather Costa,Crave,17,25,5/30/2023,22.78,489,4.5,4.8,4.5,355,76,33,16,9,365,57,13,5,3,315,67,32,12,15,Great read,"I have really enjoyed this series, this book in particular was a wrap up book but still good. The characters are so well portrayed.",,Always left reeling for more,"""These books are so amazing!!! I honestly cannot put into words what Tracy has done here, other than absolutely a perfect read!! This story and it’s details always captivate the imagination, you almost can see it as if you’re there. Or watching it unfold infront of you! Each character you can’t help but understand completely!! To those whom read it, did WONDERFULLY!!! I can’t wait until November!!! I could re-read these over and over!!! Well done! To date, and I am 35 these are my all time favorite books/series! I actually don’t want an ending! ????????",,Best voice actress,Best voice actress I’ve heard in a very long time! I will continue seeking out audiobooks with her reading.,,,,,,,,
Inheritance Games,Teen & Young Adult,Jennifer Lynn Barnes,Christie Moreau,The Inheritance Games,10,45,9/1/2020,21.83,4911,4.4,4.4,4.4,3049,1158,520,130,54,2652,982,411,132,80,2691,986,398,113,62,A new favorite!,Absolutely loved this book! Couldn’t put it down. Definitely in my top 5. Highly recommend,,Really entertaining,"""It’s a really fun and engaging read. I don’t know why people had a problem with the narrator. I almost skipped this because of those reviews, but she was fine.",,Fun story,"Fun all the way through, I love treasure hunting stories in big old mansion and a twist.",,,,,,,,
Mark of the Fool 3,Teen & Young Adult,J.M. Clarke,Travis Baldree,Mark of the Fool,22,51,4/12/2023,29.95,1786,4.7,4.9,4.7,1454,244,58,25,5,1187,75,10,2,3,1059,148,39,21,10,I love these books,"I saw that someone left a review just hours after it released and was complaining about how it doesn’t pick up from the last book until the last chapter. I’m not done with it, and that might very well be true, but it’s not story without progression. It’s not like a filler episode in anime. The character still progresses and learns and that’s all I can ask for. I’m really enjoying these books so far.",6 people found this helpful,A great third entry,"""Don't believe the first review posted; the intro may not focus on the characters we already know, but the rest of it seems to.",5 people found this helpful,The calm before the storm,A good book but lacking of progression in the general story. It felt a bit like a filler book while setting up everything nicely for book 4.,,,,,,,,
Six of Crows,Teen & Young Adult,Leigh Bardugo,Jay Snyder,Six of Crows,15,4,9/29/2015,29.95,20994,4.6,4.6,4.5,14470,4530,1395,348,251,13688,3544,1077,270,214,12972,3899,1307,332,242,Dannng!,"So I'm not going to lie...... I had never read anything from Leigh Bardigo before, so understanding the Grisha stuff was difficult at the beginning for me. The names of places, gangs, descriptions, and people threw me off, and for the first few chapters, I questioned listening further. But!!!!! When the plot started to pick up, it shot straight up, and I was enthralled. I ended up really liking this book, and frustrated when it ended. The sequel cannot come soon enough!!! Nina and Inej were my favorites (though, I'm a lady, so that isn't very surprising), but I still liked how each character had an intricate web of a background. At first, the many characters was confusing and frustrating, but again, that quickly changed :) Bravo! I loved it.",68 people found this helpful,Some What Annoying Reading,"""This story captures your attention quickly and then lights your imagination on fire as it opens a colorful and deliciously textured world for your listening pleasure.The way different cultures are used, the character development, and the action packed adventure of it all will keep you on your toes. I did not, however, appreciate the way the different voice actors were used, which is why I gave this book a mediocre performance score. Rather than having each of the actors voice their own character through the entire reading, one actor would read through an entire chapter at a time and voice all of the characters that appear in that chapter. This made things slightly confusing at some points, and I found this style to be against my personal taste.",10 people found this helpful,Love all the narrators,"It is so great to listen to a book with multiple narrators, each one did a fantastic job and it was refreshing. What a great listen, I was quickly caught up in the story and can't wait for the next book!",7 people found this helpful,,,,,,,
Skyward,Teen & Young Adult,Brandon Sanderson,Suzy Jackson,The Skyward Series,15,28,11/6/2018,33.9,41806,4.8,4.9,4.8,34935,5743,872,167,89,33911,3811,466,61,44,31496,5448,988,179,103,Teen / YA,"When I download this book, I had no idea that it was written specifically to a younger audience. I know my 14-year-old self would have been obsessed with this book and while I’d absolutely recommend it to early teens, I definitely would not recommend it to anyone old enough to purchase an R+ movie ticket. Since I’m not the story’s target market this leave me conflicted. Do I rate 5 stars based on teenage me or 2.5 stars based on my opinion today? It could be my fault for not recognizing this as teen lit in the description somewhere. But I figured if it happened to me it could happen to others too and I’m just here to spread the word. If you’re not keen on hearing the nickname “Jerk-face” used for one of the main characters, this one is a pass.",135 people found this helpful,Great for almost any age!,"""I have listened to this book twice now and am still in love with the story! The story was wrapped up enough to stand alone yet, knowing it's going to be a series, left enough open to imagine where the next book might take us. Thank you, Sanderson, for another book with strong/brave female characters!",83 people found this helpful,Enjoyed,An engaging story from beginning to end. I’d recommend this to anyone because it’s an excellent story. That said it is probably geared towards young adults and those young at heart.,4 people found this helpful,,,,,,,
Ruthless Vows,Teen & Young Adult,Rebecca Ross,Alex Wingfield,Letters of Enchantment,14,6,12/26/2023,24.74,1904,4.6,4.8,4.5,1290,452,135,19,8,1569,198,36,11,3,1196,435,149,30,8,Beautiful Writing,The writing was so beautiful and magical! I was crying happy and sad tears along the way. ??,,love the narration and story,"""this is a fantastic sequel and ending to an amazing first book! it is well written and they kept the same fantastic narrators.",,I swooned over this book,"I loved everything about this. I laughed, I screamed, I gasped and I cried!! Beautiful ending. Beautifully written.",,,,,,,,
Midnight Sun,Teen & Young Adult,Stephenie Meyer,Jake Abel,The Twilight Saga,25,49,8/4/2020,35.09,23104,4.6,4.7,4.6,17395,3341,1437,496,435,16053,2649,828,255,260,14911,2827,1283,482,462,Didn’t finish yet so far so good,I hate his voice it’s heard to listen to tbh I wish it was more soothing or smooth,25 people found this helpful,Meh...,"""Basically it’s the same as the other books all over again with some commentary by Edward. Just trying to keep Edward and Bella story “alive” a little longer.",1 person found this helpful,A DIFFERENT VIEW!,Really loved experiencing the story from Edward's viewpoint! It added a deeper facet to a jewel of a tale!,,,,,,,,
Inheritance,Teen & Young Adult,Christopher Paolini,Gerard Doyle,Inheritance Cycle,31,17,11/8/2011,29.7,19677,4.7,4.7,4.7,15521,2902,890,222,142,14044,2467,627,128,102,13652,2475,902,255,151,Good book but did not deliver everything,It was a good book and enjoyable to listen to. Gerard Doyle gave his usual good performance though the book failed to tie up all of the loop holes and promises that had been set out in previous books. Overall a fair job at tying up the series.,14 people found this helpful,Love the Inheritance Cycle!,"""This is such a great series, from start to finish. I read the books originally, but years later I have thoroughly enjoyed the audio performance! This recording was so well done!",4 people found this helpful,A great ending to a fabulous series,"Since reading the first of this series, Eragon, I found myself checking often to see when the next book was due out and then marking the date of its release so I can be one of the first to read/listen. This last book was the hardest to wait for, but so very worth it. I recommend readers have a box of tissue handy for the last few chapters. Christopher Paolini is amazing in the way he wove the story throughout the series, leaving clues that cumulate in this final novel. Gerald Doyle is a master narrator. I keep forgetting that he is one person as he brings each character to life giving them their own voice, tone, and attitude.",3 people found this helpful,,,,,,,
Heartless Hunter,Teen & Young Adult,Kristen Ciccarelli,Grace Gray,Crimson Moth,12,8,2/20/2024,24.75,740,4.7,4.8,4.7,579,118,30,7,6,612,88,19,2,1,559,115,33,11,4,Please tell me there will be a book 2,Loved this story. Would highly recommend! No smut for those that are interested but a great story line. I would recommend ages 13 on up.,2 people found this helpful,I couldn’t stop listening!,"""I loved this book so much! I wish it could’ve gone on and on. So many exciting twist. Such a great Rival to lover romance. 10 out of 10",,I’d marry Gideon.,I was so into this story and immersed into their world. There was no lull or anything. It’s one of those books that you aren’t paying any attention to the authors style because you’re just thinking about what happens next. No predictable tropes IMA!,,,,,,,,
Enemy A(n)t the Gates,Teen & Young Adult,RinoZ,Jeff Hays,Chrysalis,20,49,6/11/2024,29.95,Not rated yet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divine Rivals,Teen & Young Adult,Rebecca Ross,Alex Wingfield,Letters of Enchantment,10,50,4/4/2023,20.24,2583,4.6,4.8,4.5,1798,566,164,41,14,1978,345,72,19,2,1671,505,164,48,29,Beautiful story and definitely in my top three favs,Extremely well written enemies to lovers with a bit of a slow burn. This book had me giggling and kicking my feet at some points. Definitely looking forward to the second book.,1 person found this helpful,Chokehold,"""I couldn’t put it down. This book has changed my star scale for 2024. All of my 5 star books are now 4 stars. It is a beautiful story. I devoured it in a day, it is lovely and horrifying and heartbreaking.",1 person found this helpful,Whimsical love story fighting for a chance while torn by war,"I enjoyed the fantasy and magical setting throughout the theme of the book, it somewhat reminded me of Harry Potter with magical letters and trains. The love story itself felt true and relatable to a real love story that would’ve taken place in the late 1800s during the civil war. A few moments felt slow but essentially added to the overall development of the story. It was a great read, moving onto book 2 in the duology ~Ruthless Vows~ ???????? 8.3/10",1 person found this helpful,,,,,,,
Defiant,Teen & Young Adult,Brandon Sanderson,Suzy Jackson,The Skyward Series,13,49,11/21/2023,17.5,2952,4.7,4.9,4.7,2347,435,126,28,16,2434,212,28,5,3,2093,406,120,34,29,"Damn you, Brandon",What a great ending for my favorite series. Even if I wish it could have gone on forever.,,I love it. And I wish that there was more. perfect fantasy book if you want to clean read.,"""If you read the skyward series, do you know what I’m talking about each because it’s on unifying and I know I love the first book the most this definitely hits a lot of subjects that I love that covers a lot of the lore of the world and on top of it all has a fantastic Battle structure helps you envision the battlefield a little bit better than some of the other books. I would definitely say that I didn’t love the epilogue. I felt like it could’ve been a little bit but overall I didn’t diminish the story. Adult felt like a good end to note I didn’t think it was very good if you like skyward the first book then you’ll love this one and I personally think that this is a great book, especially for young adult and teen. As you know, the swearing is kept a minimum if there and they do you some fill in swear words, but they’re not that bad and they don’t imply anything it’s completely clean and also just got a love that the science fiction is so incredibly engrossed in the fantasy, but doesn’t feel drenched it.",,Sorry to hear this series end.,"I really enjoyed the series and the characters in it. Seems like it could continue on further, and we could all hear more about Spensa and the gang. I’m glad to have listened to it.",,,,,,,,
The Cruel Prince,Teen & Young Adult,Holly Black,Caitlin Kelly,The Folk of the Air,12,36,1/2/2018,24.95,11593,4.5,4.6,4.4,7512,2735,949,241,156,7346,1991,687,159,96,6520,2389,916,245,173,Fantastic,Holly Black crushes it. The fairy lore is as whimsical as it is dangerous and the divide between mortal and immortal has a certain authenticity. Read. this. book.,2 people found this helpful,Good but not unexpected,"""I actually began reading this book in physical form back in January. I set it back on my shelf having made it to the halfway point and not being compelled enough to finish. As my first Holly Black book, I don't know what I was expecting but it was not anything worth garnering the fan art it has nor is it exceptionally original. The audiobook was a lot better. the narrator was enticing even when the story was not.",,Pretty good book,I really enjoyed this book and finished it in two days! I had no expectation going into this book so I didn’t know if it would be good or not but it was! There were times that is was predictable but then others made me gasp because I was surprised at what happened. The narrator did such a good job with voices for different characters and made it a really enjoyable book.,,,,,,,,
Brisingr,Teen & Young Adult,Christopher Paolini,Gerard Doyle,Inheritance Cycle,29,34,9/20/2008,31.5,19085,4.7,4.8,4.8,15099,2875,784,210,117,12264,2035,502,90,85,12482,1881,487,129,68,Can't wait for Book 4,This a terrific follow up to the first 2 books. Gerald Dolye delivers an another amazing narration of Chistopher's novel. I don't even bother reading the book because the narrator brings the story to life.,2 people found this helpful,Nicely done,"""Not as predictable as I had thought it might be. I enjoyed the story and the narration. I had difficulty sticking with it when I tried to read the paper version of these books, but found the audio version to be very enjoyable.",1 person found this helpful,Entertaining but not stellar,,1 person found this helpful,,,,,,,
Nightbane,Teen & Young Adult,Alex Aster,Suzy Jackson,Lightlark,12,49,11/7/2023,25,516,4.6,4.7,4.5,365,92,43,12,4,372,102,19,7,2,352,81,43,18,7,Amazing sequel,"Betrayal, action, mystery, romance, and loved that it wasn’t predictable and had me utterly shocked so many times! Loved the first book but this was just captivating and gives you a much deeper dive into the characters histories. Definitely recommend!",,Awesome plot,"""I really enjoyed this second book in the series. Had me audibly gasping at the end. Cannot wait for the next book!",,?,Beautifully written and has you feeling every emotion? Couldn't put both books down and truly loved this series!,,,,,,,,
Eldest,Teen & Young Adult,Christopher Paolini,Gerard Doyle,Inheritance Cycle,23,30,7/22/2010,27,29052,4.8,4.7,4.8,24159,3816,802,163,112,19582,3425,919,182,113,20623,2787,627,116,75,Even better than Eldest,"Christopher Paoli continues to grow in skill as an author. This book is filled with very profound thinking and ideas. It proceeds at a measured pace, and keeps the reader enthralled. I am eagerly awaiting the final book of The Inheritance Trilogy, though will be sad to see the end. These stories keep me coming back to listen over and over again. The author's writing transcends the ages of readers. Early teens through adults will enjoy reading Eldest and Eragon. It's a shame the movie industry gave the first installment such a poor treatment. I hope another studio gives The Inheritance Trilogy another chance with a a director such as Peter Jackson. The story has the potential for success to rival Lord of the Rings.",3 people found this helpful,Awesome!!!,"""This is a wonderful story. I loved listening to it and I was very disappointed when it was over. I can't wait till the next book in the series comes out!",3 people found this helpful,Eldest on audio,"This was my first attempt at an audio book. I have read the story at least twice before and with the new book Brisingr coming out next month, I wanted to re-read it but don't have the time. So, I figured I would try the audio version. Although the content is true and genuine, I find the voice of the narrator to be quite annoying. I also find that he is mispronouncing names of people and places. I also do not care for the changes he makes to his voice to signify different characters who are speaking especially his feeble attempt at doing a female dragon voice. Truthfully, it makes the book difficult to listen to especially after having seen the movie which, no doubt, has placed an indelible idea as to who the characters are from the story into my mind. I am trying very hard to get past the sounds and focus on the content but this is proving difficult. I only hope that future audio books are not similar. The 4 stars I gave as a rating applies strictly to the book's content/story and NOT to the performance of the narrator.",1 person found this helpful,,,,,,,
A Good Girl's Guide to Murder,Teen & Young Adult,Holly Jackson,Bailey Carr,A Good Girl's Guide to Murder,10,53,2/4/2020,24.75,7918,4.6,4.7,4.6,5497,1742,476,130,73,5474,1071,293,65,47,4759,1523,452,119,80,Written for a young adult,"Although this was written for a young adult, I decided to read it because it was recommended by my granddaughter. I have to say I thoroughly enjoyed it. Very seldom do I get to the end of the book and not know who the criminal was. I didn’t know until the very end it had a little surprise twist.",4 people found this helpful,"An edge of your seat story, a must listen/read!","""This book is full of twists and turns, ups & downs. It most definitely keeps you guessing & once you think you have figured it out, nope... Something else surprises you! It's an amazing book, highly recommend!",2 people found this helpful,Wow,"this isn't my typical genre of book, but I loved it. ? it was a great story, kept me guessing, I was sure I knew what happened several times lol. but alas there was the shocker thrown in here and there! also loved the way this was performed on audible. great listen!",1 person found this helpful,,,,,,,
Mockingjay,Teen & Young Adult,Suzanne Collins,Tatiana Maslany,Hunger Games,11,19,6/19/2019,21.83,13125,4.9,4.9,4.8,11746,1062,243,53,21,10540,733,160,25,26,10077,999,276,48,30,So good,"This series only ever gets better and more relevant. I wish I could give this way more than 5 stars. Thank you, Tatiana Maslany for doing Katniss such justice.",,Amazballs,"""Amazballs batter than Harry potter although with very book it for less exiting for me but altogether an amazing series",,"very good , slightly dramatic , great narritor","easy to get pulled in, slight slow start to bad there are only 3 books in this series",,,,,,,,
Murtagh,Teen & Young Adult,Christopher Paolini,Gerard Doyle,Inheritance Cycle,24,32,11/7/2023,27,3489,4.6,4.8,4.6,2761,417,170,89,52,2905,264,68,28,14,2509,419,172,97,81,Should have been a short story,"The story had good bones and excellent character development; however, it was simply too long. Eragon moved— the plot meaningfully progressed each chapter— Murtagh didn’t.",2 people found this helpful,Audiobooks,"""From someone who just within the past year or two was introduced to audiobooks and Eragon being one of the first series I’ve listened to, I can honestly say that this book is living up to every expectation that I have had of this series! There are very few writers that I feel keep my full attention to a book and Christopher Paolini is most indeed one of them!",1 person found this helpful,So slow it starts going backward at times,"I really enjoyed getting to know Thorn and Murtagh. I wanted more from Thorn's trauma thread. So many times I wanted Paolini to continue into Murtagh's past but cuts it off at weird points. It is a slow moving plot when which be great with more world building. Instead there are points in the book that move at a snails pace, repeated themes over and over. None of the side characters, sub plots or new lands are fleshed out enough to fill the time gaps. There is plenty of anticipation and tension built up, it does feel like Poalini rides that anticipation harder than Seabiscuit at some points then abruptly you're going nowhere for a long time. Nasuada and Murtagh at the end......felt shoehorned in, We had so much time chapter after chapter then BAM! I will still absolutely read the next book, Poalini has left way too much hanging.",1 person found this helpful,,,,,,,
Catching Fire,Teen & Young Adult,Suzanne Collins,Tatiana Maslany,Hunger Games,11,3,6/17/2019,21.83,12794,4.9,4.9,4.9,11593,1006,143,26,26,9987,810,157,34,38,10024,835,112,15,9,Great book! But why does Peeta sound so stupid?,"I love the book! I can't quite forgive the performer that she makes Peeta sound so stupid. His ability to speak and charm people is his great forte, and she makes him sound feebleminded. Her voice is great otherwise, but Peeta needs to sound smart and worth listening to.",5 people found this helpful,"Great Story, Incredibly Irritating Narrator","""Love this book and series, but I almost can't get through this audio version. The narrator is so awful. Its as if Kristen Stewart is narrating, with a low, dull voice, barely any inflection, and often sounding constipated when Katniss is experiencing any emotional upheaval/ difficult decision, which is often. Her voice acting for Peeta is the actual worst! She makes him sound dimwitted and slow, which is the most irritating since he is my favorite character. The voice acting for Haymitch is not much better. I wish I hadn't purchased this version and will not purchase another audio book with this narrator.",2 people found this helpful,Fantastic performance!!,"Great performance, great content! Can’t wait to get book 3! Tatiana Maslany portrays Katniss perfectly!",1 person found this helpful,,,,,,,
The Hunger Games: Special Edition,Teen & Young Adult,Suzanne Collins,Tatiana Maslany,Hunger Games,10,35,10/30/2018,21.83,13038,4.9,4.9,4.9,11879,938,140,46,35,10046,872,191,49,67,10322,742,96,16,20,When can we expect the rest of the series?,I love Tatiana Maslany. The different voices she can do are so impressive. This recording sounds like there is an entire cast. I can’t even listen to the other recording ma of this series by the other narrator. I want more Tatiana!!,18 people found this helpful,"Excellent rendition, the reader is fantastic!","It's another big, big, big, day...nuff said...she is a fantastic reader! She really is able to bring each character to life, while staying inside Katniss's head.",17 people found this helpful,Spectacular,"Performance, story, character. Everything is spectacular. Even though I’ve read this several times, the story pulls me in right away. That’s what makes a classic a classic.",3 people found this helpful,,,,,,,
The Ballad of Songbirds and Snakes,Teen & Young Adult,Suzanne Collins,Santino Fontana,Hunger Games,16,16,5/19/2020,23.39,30737,4.5,4.3,4.5,20321,6813,2614,704,285,16120,6423,3064,1034,663,18495,5437,2268,701,358,Nothing wrong with the narration,I would rate the narrator 6 out of 10. The narration also gets way better once there is more action. Not sure what so many reviewers are complaining about. Maybe teen fiction is supposed to sound more exciting?,10 people found this helpful,A Brief History of the Hunger Games,"""??? Santino Fontana’s performance was excellent! Snow lands on top. This is the origin story we all needed… 1) Snow is instrumental in the development and evolution of the Hunger Games as we know them. 2) Snow's absolute resolve to a path of power and his lack of empathy are compelling. The bit where he considers Sejanus's ma's cookies. (jaw on floor) I found the evolution of the games to be fascinating. The way the tributes used to be treated vs the spectacle and opulence we see in the original trilogy. The introduction of sponsors and how the designation of mentors to the tributes evolved. We are introduced to one of the most horrifically cruel game makers in the history of the games. ???????? ? ???????? There is a point to everything or nothing at all, depending on your worldview. -Dr. Volumnia Gaul “What happened in the arena? That's humanity undressed. The tributes. And you, too. How quickly civilization disappears. All your fine manners, education, family background, everything you pride yourself on, stripped away in the blink of an eye, revealing everything you actually are. A boy with a club who beats another boy to death. That's mankind in its natural state.” -Dr. Volumnia Gaul ???????? ? ???????? Sejanus is our moral compass and has some of my favorite lines in the book! ???????? ? ???????? “You've no right to starve people, to punish them for no reason. No right to take away their life and freedom. Those are things everyone is born with, and they're not yours for the taking. Winning a war doesn't give you that right. Having more weapons doesn't give you that right. Being from the Capitol doesn't give you that right. Nothing does.” -Sejanus Plinth ???????? ? ???????? Overall, this was a treat and a very satisfying beginning to the world of Panem. **TO SUZANNE COLLINS** Thank you for this rich history in Panem. Please write a series about all of the victors. I would love a book dedicated to Finnick. The way he deals in secrets. What all those secrets must be. What life in the capitol must have been like for him. This line of thought only makes me curious about all of the victors of the Hunger Games. “The Winner's Circle” ?? potential title? ??",5 people found this helpful,why is everyone hating on the narrator???,"I was nervous to purchase this based on the reviews that the narrator was monotone and uninterested, that he didn't do character voices etc. All completely false! I just finished the book and the only thing I think he could have changed would be to actually attempt the singing. Or they should have hired a singing narrator, being that this story is so music heavy. As far as the cadence, I feel like Fontana really captured a teenage Snow. Nearly mirroring the speech patterns of the actor who plays him in the movie. Of course he's going to sound bored, he's a narcissistic psychopath. The only person he finds interesting is himself. Loved the look behind the emerald curtain. Loved getting to peek inside Snow's head and explore his twisted whole view origins. A great read for those of us who have been away from this universe for a while.",5 people found this helpful,,,,,,,
Powerless,Teen & Young Adult,Lauren Roberts,Chase Brown,The Powerless Trilogy,17,28,11/7/2023,22.49,2026,4.6,4.7,4.5,1476,378,109,38,26,1566,294,78,24,12,1401,367,125,46,36,Epitome of a comfort read!,"I loved it and had so much fun. Yes, it is a mixture of lots of well known tropes/ideas to make a beautifully delicious book desert. Kai and Paedyn and their slow burn tension. ??",1 person found this helpful,absolutely wonderful,"""the voice actors were perfect for this book, smooth and filled with emotion. the story is amazing and now one of my favorite books",1 person found this helpful,A Less-Than-Supernatural Heroin,"Powerless is an action packed, edge-of-your-seat thrill. Definitely a must read for fans of Sara J Maas, Rebecca Yarros and Carissa Broadbent. The stakes are high and the tension between the MC couple is deliciously palpable! I liked the smooth transition between past and present events and the cohesion between plot line as well as character and world building made this first instalment of the trilogy a great first impression! I ABSOLUTELY cannot wait to read the next one this summer!!!",1 person found this helpful,,,,,,,
Tower of Dawn,Teen & Young Adult,Sarah J. Maas,Elizabeth Evans,Throne of Glass,22,39,9/5/2017,34.94,17316,4.8,4.9,4.7,14149,2421,585,107,54,13814,1378,236,33,16,12442,2192,616,116,65,another great story,"I really love the main characters, but being able to fall in love with a few new ones was great, too. and it tied perfectly with the previous book, pulling together strings to weave a marvelous story web. I can't wait for the next one.",1 person found this helpful,interesting,"""I can totally see how this was supposed to be a novela in the beginning yet grew to so much more by conception's end.",1 person found this helpful,love it,"So well written, I loved it, every piece of it. the story kept rolling and kept my interest at peak all the way through. more please.",1 person found this helpful,,,,,,,
Empire of Storms,Teen & Young Adult,Sarah J. Maas,Elizabeth Evans,Throne of Glass,25,18,9/6/2016,39.95,21101,4.8,4.9,4.8,18326,2136,452,110,77,16940,1571,310,59,28,16243,1925,482,138,81,I truly enjoyed Empire of Storms,"Empire of storm is great story and I look forward to the next release. I have to say Aelin is just so lovable and she has won my heart. She is beautiful, smart , so giving. She is willing to scare her life so others may live. She is amazing. I highly recommend this book. This book is full of adventure. Aelin may sound so full of herself; but she is full of love for the people and causes that she loves. Rowan, Doran, Manon, Aedion and Lorcan are also great characters. I like the way we were able to her different characters POV. I don't think this book is appropriate for kids as young as 11-13. I do think that there are parts of the book which are not appropriate for kids which are that young. An applause to Sarah Mass and Elizabeth Evans. Good job. I can see this series book becoming a tv show or movie.",18 people found this helpful,Hooked,"""I have listened to many of Sarah J. Maas' novels and have fallen deep into the story. I feel that the main characters are well developed and there are enough details to paint the picture without becoming overwhelming. I recommend this series to young adults that enjoy fantasy. There are some explicit moments, so please keep that in mind (but they are brief and not often). I absolutely love the series and wait with bated breath for the next novel!",1 person found this helpful,Empire of Storms,This is the best book I have read. The end was the best make me cried. And to know that I have to wait a entire year for book six!!! Gosh!!,1 person found this helpful,,,,,,,
Queen of Shadows,Teen & Young Adult,Sarah J. Maas,Elizabeth Evans,Throne of Glass,20,43,9/1/2015,34.94,15312,4.8,4.8,4.8,12917,1944,340,75,36,11423,1567,260,44,31,11210,1654,332,54,40,Unexpectedly excellent,"First off, I should point out that yes, this is book four of the series, and I've read none of the previous three. Also, there's a good bit of Grimdark about this, with everyone doing or having done awful things, and mostly willing to do more awful things. And at the end, we have a resolution to the story within this book, but no resolution of the larger issues, and much more bad stuff to come in future volumes. So, really, at some point, I should have been overcome with the desire to throw it against the wall, except for two things. One, it's the audiobook. Two, I loved it. Aelin Galathynius (guessing on the spelling of the last name), rightful heir to the throne of Terrasen (another spelling guess) has quietly returned to Rifthold, the capital of the bitter enemy who killed her family and conquered her kingdom. She wants revenge on the King of Adarlan, but he's not the only target of her vengeance. She was hardly more than a child when she fled her family's killers, and she's just nineteen now, but she's packed a lot into those years. She trained as an assassin under Rifthold's king of the assassin's guild, under the name Celaena Sardothien. Part Fae herself and possessing Fae fire magic, she traveled to the Fae lands and learned the use of her magic there--and made a valuable friend in Prince Rowan. She's back now to rescue her friend and cousin General Aedion and her friend Prince Dorian. She needs to know if Chaol Westphal, captain of the guard, is still a friend. She's been through horrors, she has done horros, and she has more to face and do before she can hope for anything vaguely resembling peace. This is a dark and bloody story, but I like Aelin, Rowan, Aedion, Chaol and his second, Nesryn, and Aelin's old rival Lysandra. Along with the darkness and blood, Queen of Shadows has romance, male friendship, female friendship, and male-female friendship, all treated in adult, satisfying, compelling way. Because, as I mentioned, I've read none of the previous three books, there's a lot I was trying to pick up as the story went along, but Maas salted in enough background in unobtrusive ways that if I didn't always know exactly what was going on at first, I was picking up enough to enjoy continuing to listen. Highly recommended. I received a free copy of this audiobook from Audible in exchange for an honest review.",33 people found this helpful,"Standard YA girl series, which I loved","""I've noticed trends in a lot of the YA scifi books that I've read, particularly those with a strong female lead, and this one followed all of them. It has the usual love story/triangle, and the usual rise from the lower class, and a strong female protagonist - which to be clear, I always enjoy, AND, this book still managed to give you a plot line to love, even though you've kind of heard it all before. This one brought me back, I had lost a little hope in the last book, but this book brought me back to loving the story, and I've already set alerts on my phone to remind me to check when the next book will be released.",11 people found this helpful,SOOOO GOOOOD!!,I cannot explain how much this series keeps getting better and better. This book gave me something that I never knew I was waiting for HAPPINESS! the whole book is just intense and action packed. So much happens and so much that I expected to happen and not to expect happen. True bliss! Now I cannot wait another year....ugh. ??,9 people found this helpful,,,,,,,
Racing to the Finish,Sports & Outdoors,Dale Earnhardt Jr.,Dale Earnhardt Jr.,,5,2,10/16/2018,19.79,1239,4.8,4.7,4.9,1091,113,29,3,3,867,152,49,9,3,964,73,28,5,3,Awesome!!!!,"My Daughter was a high school Soccer player and has suffered 3-4 concussions, during her High School years. She is a true Hammer Head. She still suffers a lot from major headaches. Dale, Thank You for helping me understand more about Concussions",,Awesome,"""Very interesting, informative, and helpful to all. Easy to read. Easy to listen to. Anyone who plays any sports and the parents of young ones should read this book.",,Incredible read!,"Absolutely loved it! Actually sad there isn't more! I only wish that Gabe Wicks knew how to pronounce Labonte and Bodine. I don't know, I'd like to think the guy reading it was at least a race fan. But Dale is great! The stories are great! the insight into what was actually going on is heartbreaking. I learned so much about the brain.",,,,,,,,
Amphibious Soul,Sports & Outdoors,Craig Foster,Craig Foster,,9,48,5/14/2024,25.19,7,5,5,5,7,0,0,0,0,7,0,0,0,0,7,0,0,0,0,fantastic vulnerability,"The author did a great performance through his reading, allowing us into a world that he has been able to tap into through his years dedication. It's a beautiful story with great tools. I hope that many more people are inspired as I am to reconnect to Nature.",,My soul needed this book,"""Read it, if you love the outdoors and everything nature has to offer outside of the obvious.",,A beautiful story of connection,"Like his documentaries, this book shows a side of the natural world and connection few people these days get to experience",,,,,,,,
Training Essentials for Ultrarunning: Second Edition,Sports & Outdoors,Jason Koop,Jason Koop,,17,5,12/23/2021,24.95,166,4.9,4.8,4.9,147,16,3,0,0,119,15,5,1,0,124,11,4,0,0,good job!,"well read, lots of great info, well worth it. many training ideas as well as technical details for improved performance.",,Priceless information,"""The book was amazing and awesome for me to follow along with an audible I am dyslexic and hate reading but I love OCR racing ultramarathons and everything in between when it comes to finding new challenges trying to say thank you for the information and thank you to Audible for making it possible for me to read this book thank you God bless",,Valuable training tool.,I’m very pleased with this second addition of Training Essentials for Ultrarunning. The authors read the book and experts of the topics are added in. This will be my reference tool that I go back to for working through challenges.,,,,,,,,
